id,name,country,date,clouds,humidity,lat,lon,temp_max,wind_speed
2192362,Christchurch,NZ,1551891002,90,100,-43.53,172.64,66.0,2.24
504187,Puksoozero,RU,1551891133,36,75,62.59,40.61,7.1,12.15
3899539,Antofagasta,CL,1551888000,40,64,-23.65,-70.4,71.6,11.41
4011743,Constitucion,MX,1551891017,75,38,23.99,-104.67,68.0,2.24
1661950,Ban Nahin,LA,1551891134,68,40,18.24,104.21,84.32,3.98
524100,Muyezerskiy,RU,1551891134,64,67,63.93,31.65,17.18,9.8
3616594,San Rafael del Sur,NI,1551888000,20,48,11.85,-86.44,86.0,23.04
2299233,Kpandu,GH,1551891135,12,37,7.0,0.29,94.72,9.01
3897774,Buin,CL,1551888000,0,34,-33.73,-70.74,80.6,4.7
5861897,Fairbanks,US,1551891017,75,85,64.84,-147.72,21.0,3.65
3453315,Pocone,BR,1551891136,24,58,-16.26,-56.62,93.82,9.46
5942913,Dryden,CA,1551888360,90,60,49.79,-92.84,5.0,10.29
5495360,Tucumcari,US,1551891018,1,48,35.17,-103.73,39.99,23.04
3869716,Tocopilla,CL,1551891136,0,80,-22.09,-70.2,70.91,6.44
6086871,Nelson,CA,1551891137,92,59,49.49,-117.29,18.26,2.08
5438542,Sheridan,US,1551891064,75,79,39.65,-105.03,48.99,3.36
2063056,Port Augusta,AU,1551890995,0,59,-32.49,137.76,62.6,10.29
1337612,Dhidhdhoo,MV,1551891137,20,100,6.88,73.1,82.25,10.69
2126682,Bilibino,RU,1551891138,76,76,68.06,166.44,-1.36,2.64
214974,Kalemie,CD,1551891138,68,100,-5.95,29.2,73.7,10.69
2413070,Nioro,GM,1551891138,0,14,13.79,-15.05,97.19,8.79
2435124,Bitkine,TD,1551891138,0,28,11.98,18.21,86.48,5.55
2108502,Honiara,SB,1551891138,36,97,-9.43,159.96,73.16,2.86
3105522,Bereda,ES,1551891005,40,81,43.27,-7.54,53.01,19.46
1174451,Keti Bandar,PK,1551891139,0,94,24.14,67.45,72.67,11.92
2094342,Kavieng,PG,1551891139,36,100,-2.57,150.8,82.43,5.1
3983636,Guadalupe Victoria,MX,1551887040,40,49,21.68,-105.33,68.0,1.19
1688687,San Quintin,PH,1551891140,0,86,17.54,120.52,66.64,2.42
511794,Pechora,RU,1551891140,88,79,65.12,57.16,16.28,9.8
2614626,Rodby,DK,1551891008,92,85,54.7,11.39,46.0,8.99
2123814,Leningradskiy,RU,1551891067,76,84,69.38,178.42,7.24,11.81
2121385,Severo-Kurilsk,RU,1551891141,32,100,50.68,156.12,21.68,12.71
3139597,Sistranda,NO,1551890780,0,58,63.73,8.83,30.99,12.75
1519030,Shu,KZ,1551891141,92,82,43.6,73.76,35.81,8.79
1252783,Yarada,IN,1551889800,40,83,17.65,83.27,82.4,10.29
2028164,Deputatskiy,RU,1551891142,0,0,69.3,139.9,-33.76,2.75
4021858,Guerrero Negro,MX,1551891142,20,57,27.97,-114.04,71.32,5.44
2180815,Tuatapere,NZ,1551891005,68,52,-46.13,167.69,66.99,14.0
1256967,Savanur,IN,1551891142,0,47,14.97,75.34,69.74,5.88
2082539,Merauke,ID,1551891143,64,100,-8.49,140.4,77.12,4.43
1524298,Aksu,KZ,1551888000,90,92,52.04,76.93,28.4,6.71
2122262,Palana,RU,1551891143,64,79,59.08,159.95,16.1,5.21
1715335,Davila,PH,1551891144,0,95,18.47,120.58,77.17,9.35
6068416,Mayo,CA,1551888000,20,74,63.59,-135.9,-23.81,3.09
2014369,Ulety,RU,1551891144,0,57,51.36,112.48,8.81,2.64
3423146,Ilulissat,GL,1551887400,20,43,69.22,-51.1,15.8,4.7
3996234,Lazaro Cardenas,MX,1551890944,75,35,28.39,-105.62,68.0,3.36
1507390,Dikson,RU,1551891018,48,91,73.51,80.55,5.26,18.97
3036965,Le Port,FR,1551891095,88,29,42.87,1.37,64.0,4.99
